iter	Passed	Remaining
398	251968	63781
399	252574	63143
400	253179	62505
401	253801	61872
402	254402	61233
403	255025	60600
404	255644	59965
405	256270	59333
406	256886	58698
407	257479	58059
408	258080	57421
409	258701	56788
410	259300	56150
411	259917	55516
412	260524	54880
413	261163	54251
414	261766	53614
415	262369	52978
416	262976	52343
417	263598	51710
418	264198	51074
419	264792	50436
420	265392	49800
421	266003	49166
422	266621	48533
423	267237	47901
424	267831	47264
425	268475	46636
426	269074	46001
427	269670	45365
428	270285	44732
429	270896	44099
430	271499	43465
431	272111	42832
432	272706	42197
433	273336	41567
434	273944	40934
435	274553	40301
436	275159	39668
437	275776	39036
438	276380	38403
439	277001	37772
440	277596	37138
441	278213	36507
442	278812	35874
443	279403	35240
444	280024	34609
445	280683	33984
446	281285	33351
447	281890	32719
448	282503	32088
449	283127	31458
450	283726	30826
451	284323	30193
452	284919	29561
453	285538	28931
454	286143	28299
455	286749	27668
456	287346	27036
457	287987	26409
458	288604	25779
459	289212	25148
460	289837	24519
461	290474	23891
462	291106	23263
463	291711	22632
464	292308	22001
465	292939	21373
466	293551	20743
467	294167	20114
468	294793	19485
469	295395	18855
470	295995	18224
471	296592	17594
472	297224	16966
473	297822	16336
474	298446	15707
475	299063	15078
476	299690	14450
477	300305	13821
478	300904	13192
479	301544	12564
480	302173	11936
481	302778	11307
482	303386	10678
483	304024	10050
484	304656	9422
485	305281	8794
486	305902	8165
487	306513	7537
488	307126	6908
489	307734	6280
490	308348	5652
491	308960	5023
492	309579	4395
493	310238	3768
494	310863	3140
495	311529	2512
496	312136	1884
497	312845	1256
498	313477	628
499	314192	0
